Epact,D.L.,Day,Feast,Rank,Month
xii,A,19,"St. Joseph, Spouse of the B.V.M.",D1,3
,,,Friday after Ash Wednesday,F2,3
xi,b,20,Saturday after Ash Wednesday,F2,3
,,,"St. Cuthbert, Bishop & Confessor",D,3
x,c,21,I Sunday in Lent,Sd1,3
ix,d,22,"St. Benedict, Abbot (transferred)",D1,3
,,,Monday after Lent I,F2,3
viii,e,23,Tuesday after Lent I,F2,3
vii,f,24,Ember Wednesday in Lent,F2,3
,,,St. Gabriel the Archangel,Gd,3
vi,g,25,The Annunciation of the B.V.M.,D1,3
,,,Thursday after Lent I,F2,3
v,A,26,Ember Friday in Lent,F2,3
iv,b,27,Ember Saturday in Lent,F2,3
,,,"St. John Damascene, Confessor & Doctor",D,3
iii,c,28,II Sunday in Lent,Sd1,3
ii,d,29,Monday after Lent II,F2,3
i,e,30,Tuesday after Lent II,F2,3
,,,"St. John Climacus, Abbot",M,3
*,f,31,Wednesday after Lent II,F2,3
,,,"St. Innocent of Alaska, Bishop & Confessor",M,3
xxix,g,1,Thursday after Lent II,F2,4
xxviii,A,2,Friday after Lent II,F2,4
xxvii,b,3,Saturday after Lent II,F2,4
25 xxvi,c,4,III Sunday in Lent,Sd1,4
,,,"St. Isidore of Seville, Bishop, Confessor & Doctor",D,4
xxv,d,5,Monday after Lent III,F2,4
xxiii,e,6,Tuesday after Lent III,F2,4
xxii,f,7,"St. Tikhon of Moscow, Bishop & Confessor","D1, OC",4
,,,Wednesday after Lent III,F2,4
xxi,g,8,Thursday after Lent III,F2,4
xx,A,9,Friday after Lent III,F2,4
xix,b,10,Saturday after Lent III,F2,4
xviii,c,11,IV Sunday in Lent,Sd1,4
,,,"St. Leo the Great, Bishop, Confessor & Doctor",D,4
xvii,d,12,Monday after Lent IV,F2,4
xvi,e,13,Tuesday after Lent IV,F2,4
,,,"St. Hermengild, Martyr",M,4
xv,f,14,Wednesday after Lent IV,F2,4
,,,"St. Justin, Martyr",M,4
,,,"St. Tiburtius, Valerian & Maximus, Martyrs",M,4
xiv,g,15,Thursday after Lent IV,F2,4
xiii,A,16,Friday after Lent IV,F2,4
xii,b,17,Saturday after Lent IV,F2,4
,,,"St. Anicetus, Bishop & Martyr",M,4
xi,c,18,Sunday of the Passion,Sd1,4
x,d,19,Monday after Passion Sunday,F2,4
ix,e,20,Tuesday after Passion Sunday,F2,4
viii,f,21,Wednesday after Passion Sunday,F2,4
