Epact,D.L.,Day,Feast,Rank,Month
xxii,d,29,Advent Feria,F3,11
,,,"St. Saturninus, Bishop & Martyr",M,11
xxi,e,30,"St. Andrew, Apostle",D2,11
,,,Commemoration of Advent Feria,F3,11
xx,f,1,Advent Feria,F3,12
,,,,,12
xix,g,2,"St. Peter Chrysologus, Bishop, Confessor & Doctor",D,12
,,,Commemoration of Advent Feria,F3,12
,,,"St. Bibiana, Virgin & Martyr",M,12
xviii,A,3,Advent Feria,F3,12
,,,,,12
xvii,b,4,Advent Feria,F3,12
,,,"St. Barbara, Virgin & Martyr",M,12
xvi,c,5,II Sunday in Advent,Sd2,12
,,,"St. Sabbas of Judæa, Abbot",M,12
xv,d,6,"St. Nicholas, Bishop & Confessor",D,12
,,,Commemoration of Advent Feria,F3,12
xiv,e,7,"St. Ambrose of Milan, Bishop, Confessor & Doctor",Gd,12
,,,Commemoration of Advent Feria,F3,12
xiii,f,8,The Conception of the B.V.M.,"D2, OC",12
,,,Commemoration of Advent Feria,F3,12
xii,g,9,Day II within Conception Octave,Sd,12
,,,Commemoration of Advent Feria,F3,12
xi,A,10,Day III within Conception Octave,Sd,12
,,,Commemoration of Advent Feria,F3,12
,,,"St. Melchiades, Bishop & Martyr",M,12
x,b,11,Day IV within Conception Octave,Sd,12
,,,Commemoration of Advent Feria,F3,12
,,,"St. Damasus, Bishop & Confessor",M,12
ix,c,12,III Sunday in Advent,Sd2,12
,,,Day V within Conception Octave,Sd,12
viii,d,13,"St. Lucy, Virgin & Martyr",Gd,12
,,,Day VI within Conception Octave,Sd,12
,,,Commemoration of Advent Feria,F3,12
,,,"St. Herman of Alaska, Priest & Confessor",M,12
vii,e,14,Day VII within Conception Octave,Sd,12
,,,Commemoration of Advent Feria,F3,12
vi,f,15,Ember Wednesday in Advent,F2,12
,,,Octave of the Conception of the B.V.M.,Gd,12
v,g,16,Advent Feria,F3,12
,,,"St. Eusebius of Vercelli, Bishop & Martyr",M,12
iv,A,17,Ember Friday in Advent,F2,12
iii,b,18,Ember Saturday in Advent,F2,12
,,,Expectation of the B.V.M.,Gd,12
ii,c,19,IV Sunday in Advent,Sd2,12
i,d,20,Advent Feria,F3,12
,,,,,12
*,e,21,"St. Thomas, Apostle",D2,12
,,,Commemoration of Advent Feria,F3,12
xxix,f,22,Advent Feria,F3,12
,,,,,12
xxviii,g,23,Advent Feria,F3,12
,,,,,12
xxvii,A,24,Vigil of the Nativity of the Lord,V1,12
xxvi,b,25,The Nativity of Our Lord,"D1, O3",12
,,,"St. Anastasia, Virgin & Martyr",Comm,12
25 xxv,c,26,"St. Stephen, Protomartyr",D2,12
,,,Day II within the Nativity Octave,Sd,12
xxiv,d,27,"St. John, Apostle & Evangelist",D2,12
,,,Day III within the Nativity Octave,Sd,12
xxiii,e,28,"The Holy Innocents, Martyrs",D2,12
,,,Day IV within the Nativity Octave,Sd,12
xxii,f,29,Office of Sunday within the Octave of the Nativity,Sd2,12
,,,Day V within the Nativity Octave,Sd,12
xxi,g,30,Day VI within the Nativity Octave,Sd,12
xx,A,31,"St. Sylvester, Bishop & Confessor",D,12
,,,Day VII within the Nativity Octave,Sd,12
