Epact,D.L.,Day,Feast,Rank,Month
iii,d,26,Day IV Within the Octave of St. George,Sd,4
,,,"Ss. Cletus & Marcellinus, Mm.",M,4
ii,e,27,Day V Within the Octave of St. George,Sd,4
i,f,28,Day VI Within the Octave of St. George,Sd,4
,,,"St. Vitalis, M.",M,4
*,g,29,Day VII Within the Octave of St. George,Sd,4
xxix,A,30,Octave of St. George,Gd,4
xxviii,b,1,"Ss. Philip & James, App.",D2,5
xxvii,c,2,"St. Athanasius, B.C.D.",D,5
xxvi,d,3,Finding of The Holy Cross,D2,5
,,,"Ss. Alexander (B.C.), Eventius, Theodulus (Mm.) & Juvenalis (B.C.)",M,5
25 xxv,e,4,"St. Monica, W.",M,5
xxiv,f,5,,,5
xxiii,g,6,St. John Before the Latin Gate,Gd,5
xxii,A,7,"St. Alexis Toth, Pr.C.",M,5
xxi,b,8,Apparition of St. Michael The Archangel,Gd,5
,,,"St. Boniface IV, B.C.",M,5
xx,c,9,"St. Gregory Nazianzen, B.C.D.",D,5
xix,d,10,"Ss. Gordian & Epimachus, M.",M,5
xviii,e,11,,,5
xvii,f,12,"Ss. Nereus, Achilles, Domitilla & Pancras, Mm.",M,5
xvi,g,13,,,5
xv,A,14,"St. Boniface of Tarsus, M.",M,5
xiv,b,15,,,5
xiii,c,16,,,5
xii,d,17,,,5
xi,e,18,"St. Venantius, M.",D,5
x,f,19,"St. Pudentiana, V.",M,5
ix,g,20,,,5
viii,A,21,,,5
vii,b,22,"St. Romanus, Ab.",M,5
vi,c,23,,,5
v,d,24,"St. Vincent of Lerins, C.",M,5
iv,e,25,"St. Urban, B.M.",M,5
iii,f,26,"St. Augustine of Canterbury, B.C.",D,5
,,,"St. Eleutherius, B.M.",M,5
ii,g,27,"St. Bede the Venerable, C.D.",D,5
,,,"St. John I, B.M.",M,5
i,A,28,,,5
*,b,29,,,5
xxix,c,30,"St. Felix I, B.M.",M,5
xxviii,d,31,"St. Petronilla, V.",M,5
xxvii,e,1,,,6
25 xxvi,f,2,"Ss. Marcellinus, Peter & Erasmus, Mm.",M,6
xxv,g,3,,,6
xxiv,,,,,6
xxiii,A,4,,,6
xxii,b,5,"St. Boniface of Germany, B.M.",D,6
xxi,c,6,,,6
xx,d,7,,,6
xix,e,8,,,6
xviii,f,9,"St. Columba of Iona, Ab.",D,6
,,,"Ss. Primus & Felician, Mm.",M,6
xvii,g,10,"St. Margaret of Scotland, Q.W.",M,6
xvi,A,11,"St. Barnabas, Ap.",Gd,6
xv,b,12,"Ss. Basilides, Cyrinus, Nabor & Nazarius, Mm.",M,6
xiv,c,13,,,6
xiii,d,14,"St. Basil the Great, B.C.D.",Gd,6
xii,e,15,"Ss. Vitus, Modestus & Crescentia, Martyrs",M,6
xi,f,16,,,6
x,g,17,,,6
ix,A,18,"St. Ephrem the Syrian, C.D.",D,6
,,,"St. Mark & Marcellianus, Mm.",M,6
viii,b,19,"Ss. Gervase & Protase, Mm.",M,6
vii,c,20,"St. Silverius, B.M.",M,6
vi,d,21,,,6
v,e,22,"St. Alban, Protomartyr of England",D,6
,,,"St. Paulinus, B.C.",M,6
iv,f,23,Vigil of St. John the Baptist,V,6
,,,"St. Etheldreda, Q.V.",M,6
iii,g,24,Nativity of St. John The Baptist,D1 CO,6
